sno,A,B,C,D,E,F
1,10344,10373,10395,10364,10354,10395 
2,10386,10345,10345,10324,10395,00000
3,10354,10364 10395 10354 10381,10381 10354 10395 10364,10385,10373 10382,10373 10382
4,10324,10364 10395 10354 10381,10381 10354 10395 10364,10312,10312,10354
5,10364,10373,10324,10364,00000,00000
6,10354,00000,00000,10373,10364,10324 
7,10302,10344,10304,10373,10303,10301
8,10386,10312,10312,10302 10303 10305 10306,10302 10303 10305 10306,00000
9,10303,10301,10302,10386,10303,10301
10,10304,10345,10345,10373,10373 10382,10373 10382
11,10302,10306 10302 10303 103015,10306 10302 10303 10305,10301,00000,00000
12,10303,00000,00000,10302,10373,10304
13,10312,10312,10309,10324,10308 10311,10308 10311
14,10386,10309 10311 10313 10304,10309 10311 10313 10304,10304,10344,00000
15,10304,10345,10345,10386,,10310,10308
16,10310,10309,10324,10324,10309 10311 10313 10304,10309 10311 10313 10304
17,10309,10308,10308,10304,0000,00000
18,10324,00000,00000,10304,10310,10309